id,type
1,"RPLPA - Review Petitions (LPA)"
2,"LPASW - Letters Patent Appeals (Writ Petition)"
3,"LPAOW - Letters Patent Appeals (Writ Petition Other)"
4,"CPLPA - Contempt Petition (LPA)"
5,"APLPA - Application (LPA)"
7,"CDLIT - Cond.Of Delay (LPA I.T.)"
8,"CDLST - Cond.Of Delay (LPA S.T.)"
9,"CDLXT - Cond.Of Delay (LPA X.T.)"
10,"CDLTT - Cond.Of Delay (LPA T.T.)"
11,"ITA - Income Tax Appeal In LPA"
17,"CDLED - Cond.Of Delay (LPA E.D.)"
18,"ROBLP - Robkar (LPA)"
19,"LPAC - Letters Patent Appeals (Civil)"
20,"RESLP - Restoration Application (LPA)"
21,"CONDL - Condonation Of Delay"
22,"RESPL - Restoration (Pil)"
23,"CDLSW - Cond.Of Delay (LPASW)"
24,"CDLOW - Cond.Of Delay (LPAOW)"
25,"RSPIL - Restoration In Pil"
26,"RPPIL - Review In Pil"
27,"CDPIL - Condonation In Pil"
28,"APPIL - Application In Pil"
29,"PRLPC - Perm. To File LPA With Cert. Copy"
30,"PRLPW - Perm. To File LPA Without Cert. Copy"
31,"WPPIL - Writ Petition In Pub Blic Litigation(Swp)"
32,"PIL - Public Interest Litigation (Owp)"
33,"RPCDS - Review In Condonation  Of Delay In LPAsw"
34,"RPCDO - Review In Condonation  Of Delay In LPAow"
35,"LPAHC - Letters Patent Appeals In Habeous Corpus"
36,"LPAW - Letters Patent Appeal"
37,"CONC - Condonation Civil"
38,"MA - Redressal Commission"
39,"LCROS - Cross Appeal (LPAw)"
40,"CMP(LPA) - Application (LPA)"
41,"APLC - Application In LPA (Civil)"
42,"ITREF - Income Tax Reference  In LPA"
43,"PERLP - Permission For Filing LPA"
44,"RPITR - Review Petition(Income Tax Ref)"
45,"EXREF - Excise Reference"
46,"LPACR - Letters Patent Appeal Criminal"
47,"CONIL - Condonation Of Delay In Wppil"
48,"RPCPS - Review Petition (Contempt S.)"
49,"RESRP - Restoration (Review Petition)"
50,"SWP - Service Writ Petition"
51,"SSWP - Service Selection Writ Petition"
52,"SWPO - Service Writ Petition ( Old )"
53,"RPSSW - Review Petition  (Sswp)"
54,"CPSSW - Contempt Petition  (Sswp)"
55,"CPSW - Contempt Petition (Swp)"
56,"LASCL - Leave To Appeal To Supreme Court"
57,"RPSW - Review Petition (Swp)"
58,"ROBSW - Robkar (Swp)"
59,"CONSW - Condonation Swp"
60,"CONSS - Condonation Sswp"
61,"RESSW - Restoration Appl.  (Swp)"
62,"RESCP - Restoration Appl.  (Contempt Swp)"
63,"SWPTA - Transfer Application (Swp)"
64,"CPSTA - Contempt And Transfer (Service)"
65,"APSWP - Application (Swp)"
66,"EXSWP - Execution Of Order/Judgment In  Swp"
67,"RPCPS - Review Petition In Contempt (Swp)"
68,"OWPIT - Owp Income Tax"
69,"OWP - Other Writ Petition"
70,"OWPLC - Other Writ Petition (Land Court)"
71,"OWPLR - Other Writ Petition (Land Reforms)"
72,"RPOWP - Review Petition (Owp)"
73,"CPOWP - Contempt Petition (Owp)"
74,"ROBOW - Robkar(Owp)"
75,"LASCO - Leave To Appeal To Supreme Court (Owp)"
76,"CONOW - Condonation Owp"
77,"CMP - Application"
78,"RESOW - Restoration Appl.  (Owp)"
79,"OWPTA - Transfer Application (Owp)"
80,"APOWP - Application (Owp)"
81,"CPOTA - Contempt And Transfer (Owp)"
82,"RPCPO - Review Petition In Contempt (Owp)"
83,"RESIT - Restoration Appl.In Ita"
84,"OWPET - Owp Ent. Tax"
85,"OWPCD - Owp Custom Duty"
86,"OWPPD - Owp Passenger Duty"
87,"OWPPT - Owp Property Tax"
88,"OWPED - Owp Excise Duty"
89,"OWPTT - Owp Toll Tax"
90,"OWPST - Owp Sales Tax"
91,"RPITA - Review In Ita"
92,"CONIT - Cond.Of Delay In Ita"
93,"EXAP - Excise Appeal"
94,"ROBOW - Robkar (Owp)"
95,"STR - Sales Tax Reference"
96,"EXOWP - Execution Of Order/Judgment In Owp"
97,"PAPC - Pauper Application (Civil)"
98,"COA - Civil Original Appl."
99,"CPAA - Contempt Arbitration Appl."
100,"CFA - Civil Ist Appeals"
101,"CSA - Civil 2Nd Appeals"
102,"CIMA - Civil Ist Misc. Appeals"
103,"C2MA - Civil 2Nd Misc. Appeals"
104,"CR - Civil Revisions"
105,"CREF - Civil Reference"
106,"RPC - Review Petitions (Civil)"
107,"CPC - Contempt Petition (Civil)"
108,"LASCC - Leave To Appeal To Sup. Court (Civil)"
109,"CTA - Civil Transfer Application"
110,"CONCold - Condonation Civil Old"
111,"AA - Arbitration Application"
112,"PA - Grant Of Probate"
113,"ITR - Income Tax Reference"
114,"EXA - Execution Application"
115,"RIA - Revenue Ist Appeal"
116,"ROBC - Robakar (Civil)"
117,"APCIV - Application (Civil)"
118,"CMAM - Motor Accidental Case"
119,"OS - Application Under Companies Act"
120,"RESC - Restoration Appl. (Civil)"
121,"EP - Election Petition"
122,"APSOW - Appl. To File Suit In The Other Wing"
123,"RPAA - Review Petition (Arbitration Appl.)"
124,"APPLE - Correction In A Disposed Case (Decision)"
125,"CPCTA - Contempt (Civil Transfer Apllication)"
126,"APCOS - Application (Cos)"
127,"RESAA - Restoration Application (AA)"
128,"AATA - Arbitration Application Transfer"
129,"CIMIT - Civil Ist Misc.Appeal (I.T.)"
130,"COAAA - Civil Original Appl.(AA)"
131,"CPLR - Contempt In Lp Cross Appeal"
132,"AUCTA - Transfer Application (Auca)"
133,"CONAA - Cond.In Arbitration Application"
134,"EPTA - Transfer Application (Election Petition)"
135,"APAA - Application In Arb.Application"
136,"CONEP - Cond.Of Delay In Election Petition"
137,"CER - Central Excise Reference"
138,"RESEX - Restoration In Excise"
139,"CRA - Criminal Appeals"
140,"CRAA - Criminal Acqiuttal Appeals"
141,"RPCR - Review Petition (Criminal)"
142,"CRR - Criminal Revisions"
143,"CRMC - Misc Criminal Cases"
144,"491_A - 491_A Criminal Procedure Code"
145,"CRREF - Criminal Reference"
146,"CPCR - Contempt Petition (Criminal)"
147,"LASCR - Leave To Appeal To S.C (Criminal)"
148,"CRTA - Criminal Transfer Application"
149,"BA - Bail Application"
150,"CONCR - Condonation Criminal"
151,"RESCR - Restoration Criminal"
152,"CPRTA - Contempt (Criminal Transfer Application)"
153,"APPCR - Application (Criminal)"
154,"PERCR - Permmission To File Cr.Appeal"
155,"CRCH - Criminal Challan"
156,"561_B - 561_B Criminal Procedure Code"
157,"561 - Criminal"
158,"491 - Criminal"
